graph_id,n,total_actions,total_transitions,algorithm,runtime_ms,iterations,converged,success,avg_value
medium_n200_s2_a3_case0_seed42,200,597,1137,pi,0.338939,5,1,1,25.463943
medium_n200_s2_a3_case0_seed42,200,597,1137,dijkstra,0.277173,200,1,1,25.463943
medium_n200_s2_a3_case10_seed52,200,597,1137,vi,0.069892,8,1,1,25.852357
medium_n200_s2_a3_case10_seed52,200,597,1137,pi,0.341123,5,1,1,25.852357
medium_n200_s2_a3_case10_seed52,200,597,1137,dijkstra,0.273936,200,1,1,25.852357
medium_n200_s2_a3_case11_seed53,200,597,1137,vi,0.067617,8,1,1,24.309765
medium_n200_s2_a3_case11_seed53,200,597,1137,pi,0.333569,5,1,1,24.309765
medium_n200_s2_a3_case11_seed53,200,597,1137,dijkstra,0.278175,200,1,1,24.309765
medium_n200_s2_a3_case12_seed54,200,597,1137,vi,0.063660,7,1,1,23.409182
medium_n200_s2_a3_case12_seed54,200,597,1137,pi,0.268817,4,1,1,23.409182
medium_n200_s2_a3_case12_seed54,200,597,1137,dijkstra,0.284486,200,1,1,23.409182
medium_n200_s2_a3_case13_seed55,200,597,1137,vi,0.068138,8,1,1,24.993271
medium_n200_s2_a3_case13_seed55,200,597,1137,pi,0.333899,5,1,1,24.993271
medium_n200_s2_a3_case13_seed55,200,597,1137,dijkstra,0.272695,200,1,1,24.993271
medium_n200_s2_a3_case14_seed56,200,597,1137,vi,0.065804,7,1,1,23.762106
medium_n200_s2_a3_case14_seed56,200,597,1137,pi,0.332467,5,1,1,23.762106
medium_n200_s2_a3_case14_seed56,200,597,1137,dijkstra,0.282102,200,1,1,23.762106
medium_n200_s2_a3_case15_seed57,200,597,1137,vi,0.070893,9,1,1,26.780074
medium_n200_s2_a3_case15_seed57,200,597,1137,pi,0.330834,5,1,1,26.780074
medium_n200_s2_a3_case15_seed57,200,597,1137,dijkstra,0.276562,200,1,1,26.780074
medium_n200_s2_a3_case16_seed58,200,597,1137,vi,0.072186,9,1,1,24.934001
medium_n200_s2_a3_case16_seed58,200,597,1137,pi,0.399995,6,1,1,24.934001
