graph_id,s,policy_type,start_node,policy_valid,status,worst_cost,terminated,steps
medium_n50_s1_a3_case5_seed128,1,baseline_bestcase,0,1,ok,6.688884,1,2
medium_n50_s1_a3_case5_seed128,1,baseline_worst_immediate,0,1,ok,6.688884,1,2
medium_n50_s1_a3_case5_seed128,1,vi,0,1,ok,6.688884,1,2
medium_n50_s1_a3_case6_seed129,1,baseline_nominal,0,1,ok,5.992988,1,3
medium_n50_s1_a3_case6_seed129,1,baseline_bestcase,0,1,ok,5.992988,1,3
medium_n50_s1_a3_case6_seed129,1,baseline_worst_immediate,0,1,ok,5.992988,1,3
medium_n50_s1_a3_case6_seed129,1,vi,0,1,ok,5.992988,1,3
medium_n50_s1_a3_case7_seed130,1,baseline_nominal,0,1,ok,12.161234,1,3
medium_n50_s1_a3_case7_seed130,1,baseline_bestcase,0,1,ok,12.161234,1,3
medium_n50_s1_a3_case7_seed130,1,baseline_worst_immediate,0,1,ok,12.161234,1,3
medium_n50_s1_a3_case7_seed130,1,vi,0,1,ok,12.161234,1,3
medium_n50_s1_a3_case8_seed131,1,baseline_nominal,0,1,ok,1.660314,1,1
medium_n50_s1_a3_case8_seed131,1,baseline_bestcase,0,1,ok,1.660314,1,1
medium_n50_s1_a3_case8_seed131,1,baseline_worst_immediate,0,1,ok,1.660314,1,1
medium_n50_s1_a3_case8_seed131,1,vi,0,1,ok,1.660314,1,1
medium_n50_s1_a3_case9_seed132,1,baseline_nominal,0,1,ok,23.037800,1,2
medium_n50_s1_a3_case9_seed132,1,baseline_bestcase,0,1,ok,23.037800,1,2
medium_n50_s1_a3_case9_seed132,1,baseline_worst_immediate,0,1,ok,23.037800,1,2
medium_n50_s1_a3_case9_seed132,1,vi,0,1,ok,23.037800,1,2
medium_n50_s2_a3_case0_seed123,2,baseline_nominal,0,1,ok,64.305890,1,5
medium_n50_s2_a3_case0_seed123,2,baseline_bestcase,0,1,ok,64.305890,1,5
medium_n50_s2_a3_case0_seed123,2,baseline_worst_immediate,0,1,ok,50.298085,1,6
medium_n50_s2_a3_case0_seed123,2,vi,0,1,ok,47.247181,1,5
medium_n50_s2_a3_case10_seed133,2,baseline_nominal,0,1,ok,62.909660,1,6
medium_n50_s2_a3_case10_seed133,2,baseline_bestcase,0,1,ok,55.844801,1,6
medium_n50_s2_a3_case10_seed133,2,baseline_worst_immediate,0,1,ok,46.119362,1,6
medium_n50_s2_a3_case10_seed133,2,vi,0,1,ok,41.049300,1,6
medium_n50_s2_a3_case11_seed134,2,baseline_nominal,0,1,ok,30.045147,1,3
medium_n50_s2_a3_case11_seed134,2,baseline_bestcase,0,1,ok,45.289427,1,6
medium_n50_s2_a3_case11_seed134,2,baseline_worst_immediate,0,1,ok,30.045147,1,3
medium_n50_s2_a3_case11_seed134,2,vi,0,1,ok,28.303165,1,4
medium_n50_s2_a3_case12_seed135,2,baseline_nominal,0,1,ok,58.690352,1,5
medium_n50_s2_a3_case12_seed135,2,baseline_bestcase,0,1,ok,58.986718,1,7
medium_n50_s2_a3_case12_seed135,2,baseline_worst_immediate,0,1,ok,52.086604,1,6
medium_n50_s2_a3_case12_seed135,2,vi,0,1,ok,45.674292,1,3
medium_n50_s2_a3_case13_seed136,2,baseline_nominal,0,1,ok,84.600092,1,5
medium_n50_s2_a3_case13_seed136,2,baseline_bestcase,0,1,ok,74.344037,1,6
medium_n50_s2_a3_case13_seed136,2,baseline_worst_immediate,0,1,ok,45.780536,1,3
medium_n50_s2_a3_case13_seed136,2,vi,0,1,ok,43.492643,1,4
medium_n50_s2_a3_case14_seed137,2,baseline_nominal,0,1,ok,36.018783,1,4
medium_n50_s2_a3_case14_seed137,2,baseline_bestcase,0,1,ok,32.756873,1,3
medium_n50_s2_a3_case14_seed137,2,baseline_worst_immediate,0,1,ok,47.023146,1,4
medium_n50_s2_a3_case14_seed137,2,vi,0,1,ok,32.756873,1,3
medium_n50_s2_a3_case15_seed138,2,baseline_nominal,0,1,ok,48.114391,1,5
medium_n50_s2_a3_case15_seed138,2,baseline_bestcase,0,1,ok,48.506007,1,5
medium_n50_s2_a3_case15_seed138,2,baseline_worst_immediate,0,1,ok,42.161147,1,5
medium_n50_s2_a3_case15_seed138,2,vi,0,1,ok,42.161147,1,5
medium_n50_s2_a3_case16_seed139,2,baseline_nominal,0,1,ok,47.532907,1,4
medium_n50_s2_a3_case16_seed139,2,baseline_bestcase,0,1,ok,48.100087,1,4
medium_n50_s2_a3_case16_seed139,2,baseline_worst_immediate,0,1,ok,48.100087,1,4
medium_n50_s2_a3_case16_seed139,2,vi,0,1,ok,47.504101,1,4
medium_n50_s2_a3_case17_seed140,2,baseline_nominal,0,1,ok,60.000093,1,6
medium_n50_s2_a3_case17_seed140,2,baseline_bestcase,0,1,ok,85.252190,1,7
medium_n50_s2_a3_case17_seed140,2,baseline_worst_immediate,0,1,ok,52.810004,1,6
medium_n50_s2_a3_case17_seed140,2,vi,0,1,ok,42.987528,1,4
medium_n50_s2_a3_case18_seed141,2,baseline_nominal,0,1,ok,49.005483,1,6
medium_n50_s2_a3_case18_seed141,2,baseline_bestcase,0,1,ok,48.164035,1,7
medium_n50_s2_a3_case18_seed141,2,baseline_worst_immediate,0,1,ok,40.559192,1,6
medium_n50_s2_a3_case18_seed141,2,vi,0,1,ok,31.881144,1,6
medium_n50_s2_a3_case19_seed142,2,baseline_nominal,0,1,ok,18.167377,1,2
medium_n50_s2_a3_case19_seed142,2,baseline_bestcase,0,1,ok,18.167377,1,2
medium_n50_s2_a3_case19_seed142,2,baseline_worst_immediate,0,1,ok,18.167377,1,2
medium_n50_s2_a3_case19_seed142,2,vi,0,1,ok,18.167377,1,2
