s,policy_type,cases,valid_count,valid_rate,terminated_count,terminated_rate,avg_worst_cost,avg_steps
1,baseline_bestcase,20,20,1.000000,20,1.000000,16.660448,2.750000
1,baseline_nominal,20,20,1.000000,20,1.000000,16.660448,2.750000
1,baseline_worst_immediate,20,20,1.000000,20,1.000000,16.660448,2.750000
1,vi,20,20,1.000000,20,1.000000,16.660448,2.750000
2,baseline_bestcase,20,20,1.000000,20,1.000000,51.473227,5.450000
2,baseline_nominal,20,20,1.000000,20,1.000000,52.094968,5.000000
2,baseline_worst_immediate,20,20,1.000000,20,1.000000,40.445876,4.400000
2,vi,20,20,1.000000,20,1.000000,34.543570,3.900000
3,baseline_bestcase,20,20,1.000000,20,1.000000,83.709048,7.150000
3,baseline_nominal,20,20,1.000000,20,1.000000,73.095157,6.400000
3,baseline_worst_immediate,20,20,1.000000,20,1.000000,67.760658,6.850000
3,vi,20,20,1.000000,20,1.000000,49.909748,5.300000
4,baseline_bestcase,20,20,1.000000,20,1.000000,87.352952,7.300000
4,baseline_nominal,20,20,1.000000,20,1.000000,85.850955,7.100000
4,baseline_worst_immediate,20,20,1.000000,20,1.000000,78.256628,7.650000
4,vi,20,20,1.000000,20,1.000000,55.587126,5.750000
5,baseline_bestcase,20,20,1.000000,20,1.000000,99.527473,8.100000
5,baseline_nominal,20,20,1.000000,20,1.000000,101.486722,7.950000
5,baseline_worst_immediate,20,20,1.000000,20,1.000000,90.240358,8.050000
5,vi,20,20,1.000000,20,1.000000,66.730242,6.100000
