graph_id,s,policy_type,start_node,policy_valid,status,worst_cost,terminated,steps
medium_n50_s1_a3_case0_seed2024,1,baseline_nominal,0,1,ok,17.984559,1,2
medium_n50_s1_a3_case0_seed2024,1,baseline_bestcase,0,1,ok,17.984559,1,2
medium_n50_s1_a3_case0_seed2024,1,baseline_worst_immediate,0,1,ok,17.984559,1,2
medium_n50_s1_a3_case0_seed2024,1,vi,0,1,ok,17.984559,1,2
medium_n50_s1_a3_case10_seed2034,1,baseline_nominal,0,1,ok,21.967179,1,2
medium_n50_s1_a3_case10_seed2034,1,baseline_bestcase,0,1,ok,21.967179,1,2
medium_n50_s1_a3_case10_seed2034,1,baseline_worst_immediate,0,1,ok,21.967179,1,2
medium_n50_s1_a3_case10_seed2034,1,vi,0,1,ok,21.967179,1,2
medium_n50_s1_a3_case11_seed2035,1,baseline_nominal,0,1,ok,4.500791,1,2
medium_n50_s1_a3_case11_seed2035,1,baseline_bestcase,0,1,ok,4.500791,1,2
medium_n50_s1_a3_case11_seed2035,1,baseline_worst_immediate,0,1,ok,4.500791,1,2
medium_n50_s1_a3_case11_seed2035,1,vi,0,1,ok,4.500791,1,2
medium_n50_s1_a3_case12_seed2036,1,baseline_nominal,0,1,ok,22.160575,1,3
medium_n50_s1_a3_case12_seed2036,1,baseline_bestcase,0,1,ok,22.160575,1,3
medium_n50_s1_a3_case12_seed2036,1,baseline_worst_immediate,0,1,ok,22.160575,1,3
medium_n50_s1_a3_case12_seed2036,1,vi,0,1,ok,22.160575,1,3
medium_n50_s1_a3_case13_seed2037,1,baseline_nominal,0,1,ok,20.420218,1,4
medium_n50_s1_a3_case13_seed2037,1,baseline_bestcase,0,1,ok,20.420218,1,4
medium_n50_s1_a3_case13_seed2037,1,baseline_worst_immediate,0,1,ok,20.420218,1,4
medium_n50_s1_a3_case13_seed2037,1,vi,0,1,ok,20.420218,1,4
medium_n50_s1_a3_case14_seed2038,1,baseline_nominal,0,1,ok,15.565384,1,2
medium_n50_s1_a3_case14_seed2038,1,baseline_bestcase,0,1,ok,15.565384,1,2
medium_n50_s1_a3_case14_seed2038,1,baseline_worst_immediate,0,1,ok,15.565384,1,2
medium_n50_s1_a3_case14_seed2038,1,vi,0,1,ok,15.565384,1,2
medium_n50_s1_a3_case15_seed2039,1,baseline_nominal,0,1,ok,10.109978,1,2
medium_n50_s1_a3_case15_seed2039,1,baseline_bestcase,0,1,ok,10.109978,1,2
medium_n50_s1_a3_case15_seed2039,1,baseline_worst_immediate,0,1,ok,10.109978,1,2
medium_n50_s1_a3_case15_seed2039,1,vi,0,1,ok,10.109978,1,2
medium_n50_s1_a3_case16_seed2040,1,baseline_nominal,0,1,ok,9.512175,1,3
medium_n50_s1_a3_case16_seed2040,1,baseline_bestcase,0,1,ok,9.512175,1,3
